title,,authors,journal,doi
"Echovirus 30, Jiangsu Province, China",,"Zhao, Ya Nan; Jiang, Qing Wu; Jiang, Ren Jie; Chen, Liang; Perlin, David S.",Emerg Infect Dis,10.3201/eid1104.040995
"SARS Risk Perception and Preventive Measures, Singapore and Japan",,"Koh, David; Takahashi, Ken; Lim, Meng-Kin; Imai, Teppei; Chia, Sin-Eng; Qian, Feng; Ng, Vivian; Fones, Calvin",Emerg Infect Dis,10.3201/eid1104.040765
Emerging Infectious Diseases: a 10-Year Perspective from the National Institute of Allergy and Infectious Diseases,,"Fauci, Anthony S.; Touchette, Nancy A.; Folkers, Gregory K.",Emerg Infect Dis,10.3201/eid1104.041167
Web-based Investigation of Multistate Salmonellosis Outbreak,,"Srikantiah, Padmini; Bodager, Dean; Toth, Bill; Kass-Hout, Taha; Hammond, Roberta; Stenzel, Sara; Hoekstra, R.M.; Adams, Jennifer; Van Duyne, Susan; Mead, Paul S.",Emerg Infect Dis,10.3201/eid1104.040997
Are SARS Superspreaders Cloud Adults?,,"Bassetti, Stefano; Bischoff, Werner E.; Sherertz, Robert J.",Emerg Infect Dis,10.3201/eid1104.040639
Patient Contact Recall after SARS Exposure,,"Dimoulas, Popy; Green, Karen A.; Shigayeva, Altynay; Aquino, Michael; McGeer, Allison; Scales, Damon C.",Emerg Infect Dis,10.3201/eid1104.040648
Media Effects on Students during SARS Outbreak,,"Bergeron, Sheri L.; Sanchez, Ana L.",Emerg Infect Dis,10.3201/eid1105.040512
"Avian Influenza Risk Perception, Hong Kong",,"Fielding, Richard; Lam, Wendy W.T.; Ho, Ella Y.Y.; Lam, Tai Hing; Hedley, Anthony J.; Leung, Gabriel M.",Emerg Infect Dis,10.3201/eid1105.041225
"Dengue Fever, Hawaii, 2001–2002",,"Effler, Paul V.; Pang, Lorrin; Kitsutani, Paul; Vorndam, Vance; Nakata, Michele; Ayers, Tracy; Elm, Joe; Tom, Tammy; Reiter, Paul; Rigau-Perez, José G.; Hayes, John M.; Mills, Kristin; Napier, Mike; Clark, Gary G.; Gubler, Duane J.",Emerg Infect Dis,10.3201/eid1105.041063
SARS Alert Applicability,,,Emerg Infect Dis,10.3201/eid1008.040221
SARS Outbreak in Taiwan,,"Hsueh, Po-Ren; Yang, Pan-Chyr",Emerg Infect Dis,10.3201/eid1008.040115
"SARS Risk Perception, Knowledge, Precautions, and Information Sources, the Netherlands",,"Brug, Johannes; Aro, Arja R.; Oenema, Anke; de Zwart, Onno; Richardus, Jan Hendrik; Bishop, George D.",Emerg Infect Dis,10.3201/eid1008.040283
SARS Transmission and Commercial Aircraft,,"Breugelmans, J. Gabrielle; Zucs, Phillip; Porten, Klaudia; Broll, Susanne; Niedrig, Matthias; Ammon, Andrea; Krause, Gérard",Emerg Infect Dis,10.3201/eid1008.040093
"SARS in Three Categories of Hospital Workers, Hong Kong",,"Lau, Joseph T.F.; Yang, Xilin; Leung, Ping-Chung; Chan, Louis; Wong, Eliza; Fong, Carmen; Tsui, Hi-Yi",Emerg Infect Dis,10.3201/eid1008.040041
Estimating SARS Incubation Period,,"Wong, Tze-wai; Tam, Wilson",Emerg Infect Dis,10.3201/eid1008.040284
Print Media Response to SARS in New Zealand,,"Wilson, Nick; Thomson, George; Mansoor, Osman",Emerg Infect Dis,10.3201/eid1008.031096
Managing Febrile Respiratory Illnesses during a Hypothetical SARS Outbreak,,"Khan, Kamran; Muennig, Peter; Gardam, Michael; Zivin, Joshua Graff",Emerg Infect Dis,10.3201/eid1102.040524
Diagnostic System for Rapid and Sensitive Differential Detection of Pathogens,,"Briese, Thomas; Palacios, Gustavo; Kokoris, Mark; Jabado, Omar; Liu, Zhiqiang; Renwick, Neil; Kapoor, Vishal; Casas, Inmaculada; Pozo, Francisco; Limberger, Ron; Perez-Brena, Pilar; Ju, Jingyue; Lipkin, W. Ian",Emerg Infect Dis,10.3201/eid1102.040492
"Quarantine for SARS, Taiwan",,"Hsieh, Ying-Hen; King, Chwan-Chuan; Chen, Cathy W. S.; Ho, Mei-Shang; Lee, Jen-Yu; Liu, Feng-Chi; Wu, Yi-Chun",Emerg Infect Dis,10.3201/eid1102.040190
"SARS Control and Psychological Effects of Quarantine, Toronto, Canada",,"Hull, Harry F.",Emerg Infect Dis,10.3201/eid1102.040760
"Late Recognition of SARS in Nosocomial Outbreak, Toronto",,"Wong, Thomas; Wallington, Tamara; McDonald, L. Clifford; Abbas, Zahid; Christian, Michael; Low, Donald E.; Gravel, Denise; Ofner, Marianna; Mederski, Barbara; Berger, Lisa; Hansen, Lisa; Harrison, Cheryl; King, Arlene; Yaffe, Barbara; Tam, Theresa",Emerg Infect Dis,10.3201/eid1102.040607
Posttraumatic Stress after SARS,,"Wu, Kitty K.; Chan, Sumee K.; Ma, Tracy M.",Emerg Infect Dis,10.3201/eid1108.041083
Modeling Control Strategies of Respiratory Pathogens,,"Pourbohloul, Babak; Meyers, Lauren Ancel; Skowronski, Danuta M.; Krajden, Mel; Patrick, David M.; Brunham, Robert C.",Emerg Infect Dis,10.3201/eid1108.040449
Cost-Benefit of Stockpiling Drugs for Influenza Pandemic,,"Balicer, Ran D.; Huerta, Michael; Davidovitch, Nadav; Grotto, Itamar",Emerg Infect Dis,10.3201/eid1108.041156
"Human Coronavirus NL63, France",,"Vabret, Astrid; Mourez, Thomas; Dina, Julia; van der Hoek, Lia; Gouarin, Stéphanie; Petitjean, Joëlle; Brouard, Jacques; Freymuth, François",Emerg Infect Dis,10.3201/eid1108.050110
SARS Vaccine Protective in Mice,,"Stadler, Konrad; Roberts, Anjeanette; Becker, Stephan; Vogel, Leatrice; Eickmann, Markus; Kolesnikova, Larissa; Klenk, Hans-Dieter; Murphy, Brian; Rappuoli, Rino; Abrignani, Sergio; Subbarao, Kanta",Emerg Infect Dis,10.3201/eid1108.041003
Systematic Identification of Spontaneous Preterm Birth-Associated RNA Transcripts in Maternal Plasma,,"Chim, Stephen S. C.; Lee, Wing S.; Ting, Yuen H.; Chan, Oi K.; Lee, Shara W. Y.; Leung, Tak Y.",PLoS One,10.1371/journal.pone.0034328
Angiotensin-Converting Enzyme 2 (ACE2) Is a Key Modulator of the Renin Angiotensin System in Health and Disease,,"Tikellis, Chris; Thomas, M. C.",Int J Pept,10.1155/2012/256294
Revealing −1 Programmed Ribosomal Frameshifting Mechanisms by Single-Molecule Techniques and Computational Methods,,"Chang, Kai-Chun",Comput Math Methods Med,10.1155/2012/569870
"Yersinia Species Isolated from Bats, Germany",,"Mühldorfer, Kristin; Wibbelt, Gudrun; Haensel, Joachim; Riehm, Julia; Speck, Stephanie",Emerg Infect Dis,10.3201/eid1603.091035
"Highly Pathogenic Porcine Reproductive and Respiratory Syndrome Virus, Asia",,"An, Tong-Qing; Tian, Zhi-Jun; Leng, Chao-Liang; Peng, Jin-Mei; Tong, Guang-Zhi",Emerg Infect Dis,10.3201/eid1709.110411
Human Cytomegalovirus Entry into Dendritic Cells Occurs via a Macropinocytosis-Like Pathway in a pH-Independent and Cholesterol-Dependent Manner,,"Haspot, Fabienne; Lavault, Amélie; Sinzger, Christian; Laib Sampaio, Kerstin; Stierhof, York-Dieter; Pilet, Paul; Bressolette-Bodin, Céline; Halary, Franck",PLoS One,10.1371/journal.pone.0034795
Exposure to Ozone Modulates Human Airway Protease/Antiprotease Balance Contributing to Increased Influenza A Infection,,"Kesic, Matthew J.; Meyer, Megan; Bauer, Rebecca; Jaspers, Ilona",PLoS One,10.1371/journal.pone.0035108
Predicting RNA-Protein Interactions Using Only Sequence Information,,"Muppirala, Usha K; Honavar, Vasant G; Dobbs, Drena",BMC Bioinformatics,10.1186/1471-2105-12-489
Severe Acute Respiratory Syndrome–associated Coronavirus in Lung Tissue,,"Mazzulli, Tony; Farcas, Gabriella A.; Poutanen, Susan M.; Willey, Barbara M.; Low, Donald E.; Butany, Jagdish; Asa, Sylvia L.; Kain, Kevin C.",Emerg Infect Dis,10.3201/eid1001.030404
"Virus Taxonomy: One Step Forward, Two Steps Back",,"Eberhard, Mark",Emerg Infect Dis,10.3201/eid1001.030945
Immunofluorescence Assay for Serologic Diagnosis of SARS,,"Chan, Paul K. S.; Ng, King-Cheung; Chan, Rickjason C. W.; Lam, Rebecca K. Y.; Chow, Viola C. Y.; Hui, Mamie; Wu, Alan; Lee, Nelson; Yap, Florence H.Y.; Cheng, Frankie W. T.; Sung, Joseph J. Y.; Tam, John S.",Emerg Infect Dis,10.3201/eid1003.030493
Human Metapneumovirus-associated Atypical Pneumonia and SARS,,"Chan, Paul K.S.; To, Ka-Fai; Wu, Alan; Tse, Gary M.K.; Chan, Kui-Fat; Lui, Siu-Fai; Sung, Joseph J.Y.; Tam, John S.; Tomlinson, Brian",Emerg Infect Dis,10.3201/eid1003.030513
Early Defervescence and SARS Recovery,,"Wang, Jann-Tay; Wang, Jiun-Ling; Fang, Chi-Tai; Chang, Shan-Chwen",Emerg Infect Dis,10.3201/eid1003.030500
SARS Transmission and Hospital Containment,,"Gopalakrishna, Gowri; Choo, Philip; Leo, Yee Sin; Tay, Boon Keng; Lim, Yean Teng; Khan, Ali S.; Tan, Chorh Chuan",Emerg Infect Dis,10.3201/eid1003.030650
Clinical Trials and Novel Pathogens: Lessons Learned from SARS,,"Muller, Matthew P.; McGeer, Allison; Straus, Sharon E.; Hawryluck, Laura; Gold, Wayne L.",Emerg Infect Dis,10.3201/eid1003.030702
Coronaviridae and SARS-associated Coronavirus Strain HSR1,,"Vicenzi, Elisa; Canducci, Filippo; Pinna, Debora; Mancini, Nicasio; Carletti, Silvia; Lazzarin, Adriano; Bordignon, Claudio; Poli, Guido; Clementi, Massimo",Emerg Infect Dis,10.3201/eid1003.030683
SARS and Pregnancy: A Case Report,,"Robertson, Corwin A.; Lowther, Sara A.; Birch, Thomas; Tan, Christina; Sorhage, Faye; Stockman, Lauren; McDonald, L. Clifford; Lingappa, Jairam R.; Bresnitz, Eddy",Emerg Infect Dis,10.3201/eid1002.030736
HHS/CDC Legal Response to SARS Outbreak,,"Misrahi, James J.; Foster, Joseph A.; Shaw, Frederic E.; Cetron, Martin S.",Emerg Infect Dis,10.3201/eid1002.030721
"SARS among Critical Care Nurses, Toronto",,"Loeb, Mark; McGeer, Allison; Henry, Bonnie; Ofner, Marianna; Rose, David; Hlywka, Tammy; Levie, Joanne; McQueen, Jane; Smith, Stephanie; Moss, Lorraine; Smith, Andrew; Green, Karen; Walter, Stephen D.",Emerg Infect Dis,10.3201/eid1002.030838
"SARS-related Virus Predating SARS Outbreak, Hong Kong",,"Zheng, Bo Jian; Guan, Yi; Wong, Ka Hing; Zhou, Jie; Wong, Kin Ling; Young, Betty Wan Y.; Lu, Li Wei; Lee, Shui Shan",Emerg Infect Dis,10.3201/eid1002.030533
"Body Temperature Monitoring and SARS Fever Hotline, Taiwan",,"Kaydos-Daniels, S. Cornelia; Olowokure, Babatunde; Chang, Hong-Jen; Barwick, Rachel S.; Deng, Jou-Fang; Lee, Ming-Liang; Kuo, Steve Hsu-Sung; Su, Ih-Jen; Chen, Kow-Tong; Maloney, Susan A.",Emerg Infect Dis,10.3201/eid1002.030748
Real-Time Reverse Transcription–Polymerase Chain Reaction Assay for SARS-associated Coronavirus,,"Emery, Shannon L.; Erdman, Dean D.; Bowen, Michael D.; Newton, Bruce R.; Winchell, Jonas M.; Meyer, Richard F.; Tong, Suxiang; Cook, Byron T.; Holloway, Brian P.; McCaustland, Karen A.; Rota, Paul A.; Bankamp, Bettina; Lowe, Luis E.; Ksiazek, Tom G.; Bellini, William J.; Anderson, Larry J.",Emerg Infect Dis,10.3201/eid1002.030759
Probable Secondary Infections in Households of SARS Patients in Hong Kong,,"Lau, Joseph T.F.; Lau, Mason; Kim, Jean H.; Wong, Eric; Tsui, Hi-Yi; Tsang, Thomas; Wong, Tze Wai",Emerg Infect Dis,10.3201/eid1002.030626
Possible SARS Coronavirus Transmission during Cardiopulmonary Resuscitation,,"Christian, Michael D.; Loutfy, Mona; McDonald, L. Clifford; Martinez, Kenneth F.; Ofner, Mariana; Wong, Tom; Wallington, Tamara; Gold, Wayne L.; Mederski, Barbara; Green, Karen; Low, Donald E.",Emerg Infect Dis,10.3201/eid1002.030700
Detection of SARS Coronavirus in Patients with Suspected SARS,,"Chan, Kwok H.; Poon, Leo L.L.M.; Cheng, V.C.C.; Guan, Yi; Hung, I.F.N.; Kong, James; Yam, Loretta Y.C.; Seto, Wing H.; Yuen, Kwok Y.; Peiris, Joseph S. Malik",Emerg Infect Dis,10.3201/eid1002.030610
Susceptibility of Pigs and Chickens to SARS Coronavirus,,"Weingartl, Hana M.; Copps, John; Drebot, Michael A.; Marszal, Peter; Smith, Greg; Gren, Jason; Andonova, Maya; Pasick, John; Kitching, Paul; Czub, Markus",Emerg Infect Dis,10.3201/eid1002.030677
"Clinical Description of a Completed Outbreak of SARS in Vietnam, February–May, 2003",,"Vu, Hoang Thu; Leitmeyer, Katrin C.; Le, Dang Ha; Miller, Megge J.; Nguyen, Quang Hien; Uyeki, Timothy M.; Reynolds, Mary G.; Aagesen, Jesper; Nicholson, Karl G.; Vu, Quang Huy; Bach, Huy Anh; Plant, Aileen J.",Emerg Infect Dis,10.3201/eid1002.030761
SARS Epidemic in the Press,,"Rezza, Giovanni; Marino, Raffaella; Farchi, Francesca; Taranto, Mirella; Superiore di Sanità, Istituto",Emerg Infect Dis,10.3201/eid1002.030743
Combining Clinical and Epidemiologic Features for Early Recognition of SARS,,"Jernigan, John A.; Low, Donald E.; Helfand, Rita F.",Emerg Infect Dis,10.3201/eid1002.030741
Health Communication during SARS,,"Arguin, Paul M.; Navin, Ava W.; Steele, Stefanie F.; Weld, Leisa H.; Kozarsky, Phyllis E.",Emerg Infect Dis,10.3201/eid1002.030812
"SARS Surveillance during Emergency Public Health Response, United States, March–July 2003",,"Schrag, Stephanie J.; Brooks, John T.; Van Beneden, Chris; Parashar, Umesh D.; Griffin, Patricia M.; Anderson, Larry J.; Bellini, William J.; Benson, Robert F.; Erdman, Dean D.; Klimov, Alexander; Ksiazek, Thomas G.; Peret, Teresa C.T.; Talkington, Deborah F.; Thacker, W. Lanier; Tondella, Maria L.; Sampson, Jacquelyn S.; Hightower, Allen W.; Nordenberg, Dale F.; Plikaytis, Brian D.; Khan, Ali S.; Rosenstein, Nancy E.; Treadwell, Tracee A.; Whitney, Cynthia G.; Fiore, Anthony E.; Durant, Tonji M.; Perz, Joseph F.; Wasley, Annemarie; Feikin, Daniel; Herndon, Joy L.; Bower, William A.; Kilbourn, Barbara W.; Levy, Deborah A.; Coronado, Victor G.; Buffington, Joanna; Dykewicz, Clare A.; Khabbaz, Rima F.; Chamberland, Mary E.",Emerg Infect Dis,10.3201/eid1002.030752
"SARS-associated Coronavirus Transmission, United States",,"Isakbaeva, Elmira T.; Khetsuriani, Nino; Beard, R. Suzanne; Peck, Angela; Erdman, Dean; Monroe, Stephan S.; Tong, Suxiang; Ksiazek, Thomas G.; Lowther, Sara; Smith, Indra Pandya; Anderson, Larry J.; Lingappa, Jairam; Widdowson, Marc-Alain",Emerg Infect Dis,10.3201/eid1002.030734
Atypical SARS in Geriatric Patient,,"Tee, Augustine K.H.; Oh, Helen M.L.; Hui, K.P.; Lien, Christopher T.C.; Narendran, K.; Heng, B.H.; Ling, A.E.",Emerg Infect Dis,10.3201/eid1002.030322
Atypical SARS and Escherichia coli Bacteremia,,"Tan, Thuan Tong; Tan, Ban Hock; Kurup, Asok; Oon, Lynette Lin Ean; Heng, Derrick; Thoe, Su Yun Se; Bai, Xin Lai; Chan, Kwai Peng; Ling, Ai Ee",Emerg Infect Dis,10.3201/eid1002.030501
SARS Preparedness and Response Planning,,"Parashar, Umesh D.; Anderson, Larry J.",Emerg Infect Dis,10.3201/eid1002.030803
SARS-associated Coronavirus Infection in Teenagers,,"Yang, Gee-Gwo; Lin, Shinn-Zont; Liao, Kuang-Wen; Lee, Jen-Jyh; Wang, Lih-Shinn",Emerg Infect Dis,10.3201/eid1002.030485
"Lack of SARS Transmission among Public Hospital Workers, Vietnam",,"Ha, Le Dang; Bloom, Sharon A.; Hien, Nguyen Quang; Maloney, Susan A.; Mai, Le Quynh; Leitmeyer, Katrin C.; Anh, Bach Huy; Reynolds, Mary G.; Montgomery, Joel M.; Comer, James A.; Horby, PeterW.; Plant, Aileen J.",Emerg Infect Dis,10.3201/eid1002.030707
Interferon-β 1a and SARS Coronavirus Replication,,"Hensley, Lisa E.; Fritz, Elizabeth A.; Jahrling, Peter B.; Karp, Christopher; Huggins, John W.; Geisbert, Thomas W.",Emerg Infect Dis,10.3201/eid1002.030482
"Introduction of SARS in France, March–April, 2003",,"Desenclos, Jean-Claude; van der Werf, Sylvie; Bonmarin, Isabelle; Levy-Bruhl, Daniel; Yazdanpanah, Yazdan; Hoen, Bruno; Emmanuelli, Julien; Lesens, Olivier; Dupon, Michel; Natali, François; Michelet, Christian; Reynes, Jacques; Guery, Benoit; Larsen, Christine; Semaille, Caroline; Mouton, Yves; Christmann, Daniel; André, Michel; Escriou, Nicolas; Burguière, Anna; Manuguerra, Jean-Claude; Coignard, Bruno; Lepoutre, Agnés; Meffre, Christine; Bitar, Dounia; Decludt, Bénédicte; Capek, Isabelle; Antona, Denise; Che, Didier; Herida, Magid; Infuso, Andréa; Saura, Christine; Brücker, Gilles; Hubert, Bruno; LeGoff, Dominique; Scheidegger, Suzanne",Emerg Infect Dis,10.3201/eid1002.030351
"SARS Outbreak, Taiwan, 2003",,"Hsieh, Ying-Hen; Chen, Cathy W.S.; Hsu, Sze-Bi",Emerg Infect Dis,10.3201/eid1002.030515
"Serologic and Molecular Biologic Methods for SARS-associated Coronavirus Infection, Taiwan",,"Wu, Ho-Sheng; Chiu, Shu-Chun; Tseng, Tsan-Chang; Lin, Szu-Fong; Lin, Jih-Hui; Hsu, Yu-Fen; Wang, Mei-Ching; Lin, Tsuey-Li; Yang, Wen-Zieh; Ferng, Tian-Lin; Huang, Kai-Hung; Hsu, Li-Ching; Lee, Li-Li; Yang, Jyh-Yuan; Chen, Hour-Young; Su, Shun-Pi; Yang, Shih-Yan; Lin, Ting-Hsiang; Su, Ih-Jen",Emerg Infect Dis,10.3201/eid1002.030731
Multiple Contact Dates and SARS Incubation Periods,,"Meltzer, Martin I.",Emerg Infect Dis,10.3201/eid1002.030426
Surgical Helmets and SARS Infection,,"Derrick, James L.; Gomersall, Charles D.",Emerg Infect Dis,10.3201/eid1002.030764
"Crisis Prevention and Management during SARS Outbreak, Singapore",,"Quah, Stella R.; Hin-Peng, Lee",Emerg Infect Dis,10.3201/eid1002.030418
Making State Public Health Laws Work for SARS Outbreaks,,"Richards, Edward P.; Rathbun, Katharine C.",Emerg Infect Dis,10.3201/eid1002.030836
"Secondary Household Transmission of SARS, Singapore",,"Goh, Denise Li-Meng; Lee, Bee Wah; Chia, Kee Seng; Heng, Bee Hoon; Chen, Mark; Ma, Stefan; Tan, Chorh Chuan",Emerg Infect Dis,10.3201/eid1002.030676
Possible Central Nervous System Infection by SARS Coronavirus,,"Lau, Kwok-Kwong; Yu, Wai-Cho; Chu, Chung-Ming; Lau, Suet-Ting; Sheng, Bun; Yuen, Kwok-Yung",Emerg Infect Dis,10.3201/eid1002.030638
Index Patient and SARS Outbreak in Hong Kong,,"Wong, Raymond S.M.; Hui, David S.",Emerg Infect Dis,10.3201/eid1002.030645
"Superspreading SARS Events, Beijing, 2003",,"Shen, Zhuang; Ning, Fang; Zhou, Weigong; He, Xiong; Lin, Changying; Chin, Daniel P.; Zhu, Zonghan; Schuchat, Anne",Emerg Infect Dis,10.3201/eid1002.030732
"Risk Factors for SARS among Persons without Known Contact with SARS Patients, Beijing, China",,"Wu, Jiang; Xu, Fujie; Zhou, Weigong; Feikin, Daniel R.; Lin, Chang-Ying; He, Xiong; Zhu, Zonghan; Liang, Wannian; Chin, Daniel P.; Schuchat, Anne",Emerg Infect Dis,10.3201/eid1002.030730
The Impressive and Rapidly Expanding Knowledge Base on SARS,,"Hughes, James M.",Emerg Infect Dis,10.3201/eid1002.031043
SARS Transmission among Hospital Workers in Hong Kong,,"Lau, Joseph T.F.; Fung, Kitty S.; Wong, Tze Wai; Kim, Jean H.; Wong, Eric; Chung, Sydney; Ho, Deborah; Chan, Louis Y.; Lui, S.F.; Cheng, Augustine",Emerg Infect Dis,10.3201/eid1002.030534
Ultrastructural Characterization of SARS Coronavirus,,"Goldsmith, Cynthia S.; Tatti, Kathleen M.; Ksiazek, Thomas G.; Rollin, Pierre E.; Comer, James A.; Lee, William W.; Rota, Paul A.; Bankamp, Bettina; Bellini, William J.; Zaki, Sherif R.",Emerg Infect Dis,10.3201/eid1002.030913
"Real-Time Polymerase Chain Reaction for Detecting SARS Coronavirus, Beijing, 2003",,"Zhai, Junhui; Briese, Thomas; Dai, Erhei; Wang, Xiaoyi; Pang, Xin; Du, Zongmin; Liu, Haihong; Wang, Jin; Wang, Hongxia; Guo, Zhaobiao; Chen, Zeliang; Jiang, Lingxiao; Zhou, Dongsheng; Han, Yanping; Jabado, Omar; Palacios, Gustavo; Lipkin, W. Ian; Yang, Ruifu",Emerg Infect Dis,10.3201/eid1002.030799
Healthcare Worker Seroconversion in SARS Outbreak,,"Chow, Pierce K. H.; Ooi, Eng-Eong; Tan, Hiang-Khoon; Ong, Kong-Wee; Sil, Bijon Kumar; Teo, Melissa; Ng, Timothy; Soo, Khee-Chee",Emerg Infect Dis,10.3201/eid1002.030397
"Lack of SARS Transmission among Healthcare Workers, United States",,"Park, Benjamin J.; Peck, Angela J.; Kuehnert, Matthew J.; Newbern, Claire; Smelser, Chad; Comer, James A.; Jernigan, Daniel; McDonald, L. Clifford",Emerg Infect Dis,10.3201/eid1002.030793
"Global Surveillance, National Surveillance, and SARS",,"Heymann, David L.; Rodier, Guénaël",Emerg Infect Dis,10.3201/eid1002.031038
"Cluster of SARS among Medical Students Exposed to Single Patient, Hong Kong",,"Wong, Tze-wai; Lee, Chin-kei; Tam, Wilson; Lau, Joseph Tak-fai; Yu, Tak-sun; Lui, Siu-fai; Chan, Paul K.S.; Li, Yuguo; Bresee, Joseph S.; Sung, Joseph J.Y.; Parashar, Umesh D.",Emerg Infect Dis,10.3201/eid1002.030452
Fear and Stigma: The Epidemic within the SARS Outbreak,,"Person, Bobbie; Sy, Francisco; Holton, Kelly; Govert, Barbara; Liang, Arthur; Garza, Brenda; Gould, Deborah; Hickson, Meredith; McDonald, Marian; Meijer, Cecilia; Smith, Julia; Veto, Liza; Williams, Walter; Zauderer, Laura",Emerg Infect Dis,10.3201/eid1002.030750
"Vets, Meds, and Zoonotic Threats",,"Pitlik, Silvio",Emerg Infect Dis,10.3201/eid1004.030805
Inhibition of SARS Coronavirus Infection In Vitro with Clinically Approved Antiviral Drugs,,"Tan, Emily L.C.; Ooi, Eng Eong; Lin, Chin-Yo; Tan, Hwee Cheng; Ling, Ai Ee; Lim, Bing; Stanton, Lawrence W.",Emerg Infect Dis,10.3201/eid1004.030458
"SARS Transmission, Risk Factors, and Prevention in Hong Kong",,"Lau, Joseph T.F.; Tsui, Hiyi; Lau, Mason; Yang, Xilin",Emerg Infect Dis,10.3201/eid1004.030628
Human Challenge Pilot Study with Cyclospora cayetanensis,,"Alfano-Sobsey, Edith M.; Eberhard, Mark L.; Seed, John R.; Weber, David J.; Won, Kimberly Y.; Nace, Eva K.; Moe, Christine L.",Emerg Infect Dis,10.3201/eid1004.030356
Epidemiologic Clues to SARS Origin in China,,"Xu, Rui-Heng; He, Jian-Feng; Evans, Meirion R.; Peng, Guo-Wen; Field, Hume E; Yu, De-Wen; Lee, Chin-Kei; Luo, Hui-Min; Lin, Wei-Sheng; Lin, Peng; Li, Ling-Hui; Liang, Wen-Jia; Lin, Jin-Yan; Schnur, Alan",Emerg Infect Dis,10.3201/eid1006.030852
SARS Epidemiology Modeling,,"Hsieh, Ying-Hen; Lee, Jen-Yu; Chang, Hsiao-Ling",Emerg Infect Dis,10.3201/eid1006.031023
SARS Exposure and Emergency Department Workers,,"Chang, Wei-Tien; Kao, Chuan-Liang; Chung, Ming-Yi; Chen, Shyr-Chyr; Lin, Shou-Ju; Chiang, Wen-Chu; Chen, Shey-Ying; Su, Chan-Ping; Hsueh, Po-Ren; Chen, Wen-Jone; Chen, Pei-Jer; Yang, Pan-Chyr",Emerg Infect Dis,10.3201/eid1006.030972
Diagnostic Criteria during SARS Outbreak in Hong Kong,,"Chan, Louis Y.; Lee, Nelson; Chan, Paul K.S.; Wu, Alan; Rainer, Timothy H.; Li, Philip K.T.; Fung, Hong; Sung, Joseph JY",Emerg Infect Dis,10.3201/eid1006.030618
SARS and Common Viral Infections,,"Louie, Janice K.; Hacker, Jill K.; Mark, Jennifer; Gavali, Shilpa S.; Yagi, Shigeo; Espinosa, Alex; Schnurr, David P.; Cossen, Cynthia K.; Isaacson, Erin R.; Glaser, Carol A.; Fischer, Marc; Reingold, Arthur L.; Vugia, Duc J.",Emerg Infect Dis,10.3201/eid1006.030863
Respiratory Picornaviruses and Respiratory Syncytial Virus as Causative Agents of Acute Expiratory Wheezing in Children,,"Jartti, Tuomas; Lehtinen, Pasi; Vuorinen, Tytti; Österback, Riikka; van den Hoogen, Bernadette; Osterhaus, Albert D.M.E.; Ruuskanen, Olli",Emerg Infect Dis,10.3201/eid1006.030629
Ring Vaccination and Smallpox Control,,"Kretzschmar, Mirjam; van den Hof, Susan; Wallinga, Jacco; van Wijngaarden, Jan",Emerg Infect Dis,10.3201/eid1005.030419
"Clinical Manifestations, Laboratory Findings, and Treatment Outcomes of SARS Patients",,"Wang, Jann-Tay; Sheng, Wang-Huei; Fang, Chi-Tai; Chen, Yee-Chun; Wang, Jiun-Ling; Yu, Chong-Jen; Chang, Shan-Chwen; Yang, Pan-Chyr",Emerg Infect Dis,10.3201/eid1005.030640
Laboratory Diagnosis of SARS,,"Chan, Paul K. S.; To, Wing-Kin; Ng, King-Cheung; Lam, Rebecca K. Y.; Ng, Tak-Keung; Chan, Rickjason C. W.; Wu, Alan; Yu, Wai-Cho; Lee, Nelson; Hui, David S. C.; Lai, Sik-To; Hon, Ellis K. L.; Li, Chi-Kong; Sung, Joseph J. Y.; Tam, John S.",Emerg Infect Dis,10.3201/eid1005.030682
Animal-to-Human SARS-associated Coronavirus Transmission?,,"Lun, Zhao-Rong; Qu, Liang-Hu",Emerg Infect Dis,10.3201/eid1005.040022
SARS in Hospital Emergency Room,,"Chen, Yee-Chun; Huang, Li-Min; Chan, Chang-Chuan; Su, Chan-Ping; Chang, Shan-Chwen; Chang, Ying-Ying; Chen, Mei-Ling; Hung, Chien-Ching; Chen, Wen-Jone; Lin, Fang-Yue; Lee, Yuan-Teh",Emerg Infect Dis,10.3201/eid1005.030579
Genetic Variation of SARS Coronavirus in Beijing Hospital,,"Xu, Dongping; Zhang, Zheng; Chu, Fuliang; Li, Yonggang; Jin, Lei; Zhang, Lingxia; Gao, George F.; Wang, Fu-Sheng",Emerg Infect Dis,10.3201/eid1005.030875
"Domestic Poultry and SARS Coronavirus, Southern China",,"Swayne, David E.; Suarez, David L.; Spackman, Erica; Tumpey, Terrence M.; Beck, Joan R.; Erdman, Dean; Rollin, Pierre E.; Ksiazek, Thomas G.",Emerg Infect Dis,10.3201/eid1005.030827
Hospital Preparedness and SARS,,"Loutfy, Mona R.; Wallington, Tamara; Rutledge, Tim; Mederski, Barbara; Rose, Keith; Kwolek, Sue; McRitchie, Donna; Ali, Azra; Wolff, Bryan; White, Diane; Glassman, Edward; Ofner, Marianna; Low, Don E.; Berger, Lisa; McGeer, Allison; Wong, Tom; Baron, David; Berall, Glenn",Emerg Infect Dis,10.3201/eid1005.030717
