roles,#doc,documents
Local administrators/board members,1172,"it so aligns with my core value, is if you go to the people who need you the most and ask them the questions, or give them space to tell you what they need, they will tell you what they need. And it is often, in my experience, is often way less complicated than we try to make it."
Local administrators/board members,1173,"Sometimes we think these solutions need to be these huge, whatever. And really, that is not... They want access to tutoring, like, Oh, okay. We could do tutoring. What? Okay. It just may be something that... Now, sometimes they are big, and heavy, and hard. but sometimes they are not, and you only know that through asking."
Local administrators/board members,1174,"as an education system, we do a really good job at solving problems that we have not asked. Solving the wrong problem, because we have not asked the question. We work really hard on these big system wide solutions that are expensive and complicated, and then you meet with the parents and they are like, ""Yeah, but I just wanted tutoring,"" and there is still no tutoring. it is like, ""Oh, I did not realize. I can do that, because you do not ask the questions up front. And I do not know if it is from a place of arrogance, or I do not know what that is about, but I think we do that as educators. Or maybe the responsibility that we think we should know, and to ask shows some vulnerability and weakness that maybe we do not know. I do not know why we do what we do."
Local administrators/board members,1175,"The very first thing I am going to tell you about does not have anything to do with the three things you wanted me to focus on, but I think it is a policy that needs to be elevated and shared. The OSPIs commitment to dual-language programming and encouraging... And they did a phenomenal job. Chris Reykdal and his team did a phenomenal job in messaging statewide why that is important. The narrative that they shared was so well done, around there is the moral imperative of it, but then there is also the business case for it."
Local administrators/board members,1176,"I think that that was tremendous for a district like Pasco. We have had bilingual education for decades, and decades, and decades. We have what is called a late-exit program, and the way that that program had been administered, it was what is called subtractive. So the kids are transitioning out of Spanish into English. that is not ideal, and the goal really should be bilingualism, biculturalism, and biliteracy for really anyone and one who wants that."
Local administrators/board members,1177,"We were trying internally, and this is not a criticism of the past, it is what the research had in the past, was this concept of late-exit, where you use their native language to build up their language skills, to transition them into English. So at some point they are getting of support in their native language, but their day is mostly... So you are aware. Okay. So you can see where their native language is not honored in that system as an equal-to, or even more than English. And again, it is not a criticism of what the district was doing. that is what the research said you should be doing back then."
Local administrators/board members,1178,"Then, once we knew better, we were in the process of trying to make that shift. Which was tricky, because you had to like, we were not doing it well before..."" So it is just tricky, how to make that... At the same time, OSPI leveraged this amazing set of policies, and narrative, and statewide expectation, around dual language. It gave us that perfect... It was like we just had to thread the needle then. We are wanting to do this work, we are prepared to do the work, so we stepped through that. And we are now shifting all of our programs to dual-language, whether it is one-way or two-way, and we have expanded our two-way dual-language program from being in one building, or two buildings, to nine buildings."
Local administrators/board members,1179,"I think the thing that we have been able to do in that shifting, in that transition, is really clarify our commitment to bilingualism. And especially for our families who are second language, around that is your heritage language, that is the language of your ancestors. That is what connects us to who we are and the generations who came before us, and how important that is."
Local administrators/board members,1180,"I am not bilingual, but being a person that is not a people-of-color, I think carrying that narrative has been really powerful in this community. And I am proud to be in a position to be able to do that."
Local administrators/board members,1181,"So we are living that in Pasco. We are opening doors around bilingual education and dual-language classes. it is not perfect. We do not have it everywhere. but the philosophy is in place, and we are making the kinds of system changes and shifts that we need to. it is the policy and the state level narrative that help helped us do that in a way that did not divide people. Our board, who is very divergent in opinion, unanimously supported that shift. In a community like this, that is complicated that way, to get unanimous support for something like bilingual education, dual-language for everyone, that could have only been done with the state level policy and narrative from OSPI."
Local administrators/board members,1182,"they were shaping that narrative. It was a strategic priority for Chris Reykdal to increase dual-language statewide. So at the same time they were doing that, there was some flexibility in funding and then some grants. I think those things probably were more beneficial for other districts to be able to thread the needle. We were pretty squared away, funding wise, because we were already doing it, but it was while they were implementing the new grants, that narrative, that they were... The policy level discussion, I guess I should not call it a narrative, the policy level discussion at the state identifying this as a priority, I think was that shifted it for Pasco."
Local administrators/board members,1183,"but I think in districts that were not already on board, with already having a dual-language, there were some grant opportunities and some funding flexibility that was allowed that was helpful."
Educator,1244,"In 2018, we had a major financial crisis here in Spokane and we had to layoff a substantial amount of teachers. My school had 16 teachers laid off. It was, by far, the most in the district and of all the layoffs in Northeast Spokane, which is the poorest part of Spokane, I think something like 60% of all the layoffs came from that part of Spokane. So, it was pretty significant and real obvious. And I had some pretty heated conversations with the union about it and they are not going to move. They do not care. So that is going to continue to be of a hangup because the district does not have total control, like they do over principal hire. I think that is a bigger issue, probably more at the state level, maybe even at the national level."
Educator,1245,"I am not an anti-union person. I think the WEA and the NEA have done some remarkably great things. For teachers, that have benefited the entire profession. however, some of the antiquated ideas of seniority definitely have a negative impact on schools. And even at the quality of curriculum or quality of instruction is limited by some of the things that the union requires."
Educator,1246,"I can give you the specific example because I thought it really hard. So while we were in online learning, for example, so Spokane was in online learning at the secondary level until March 1st. And then March 1st, we went into a hybrid model in which half our kids we are going to come to school one day and the other half the next day. but there we are families who were heavily impacted by COVID-19 and their students we are going to be unable to come, even in the hybrid model. it would have made sense to me, since we were using... Our platform is Microsoft, so it would have made sense to me that students who could not attend could still attend through Teams with their regular classes like the ones they had been in pretty much all year. The union would not let that happen."
Educator,1247,"And so they negotiated (union) that teachers would not be required to teach online and in person at the same time. And so I had four students, could not come to school, could not get into our Spokane Virtual Academy because they had to get in at the beginning of the year. honestly, because I had an open, endorsed certificate that I can teach K-12 any topic, any subject, I just took them all. And it... running a very lame, to be honest, but it was the last three months of school so we made it work. And I had some help for sure. but that to me was pretty damaging because we are talking only 40 kids. It was not that many kids, we should have been able to make an accommodation for that."
Educator,1248,"And I think going forward, what we did find from online learning is that lots of kids, who have high anxiety, did performed really well and because they did not have that anxiety. And so you could really see what they were capable of, educationally. So, I think at some point in time, we are going to have to continue this anyway, we are going to have to have this as an option, forever."
Educator,1249,"And I think that kids should still have the opportunity of their home high school teacher and be able to do that and through Teams, it does not seem that hard to me. So I do think we are going to have to make some there... because I would say my school had the highest number and it was only 40. No other school saw that number, like that. And I have lots of kids living with grandparents who would have had compromised immune systems and could not take the exposure to COVID-19, which definitely happens at schools, as we have found out."
Educator,1250,"I also continue to be concerned about how curriculum is delivered and for a variety of reasons, not all just the union, but definitely they have a place in this. I think everybody has a place in this. Can a district ensure that a kid, in a poor school, is getting the same delivery of curriculum as a kid in a higher income school, because that also can affect that outcome. that is a tough one because you do have some autonomy that is going to happen in every classroom and it should happen. Teachers should have some autonomy, but in the end, kids should be getting whatever the district approved curriculum is."
Educator,1251,"There should be some accountability that a kid on the north side is going to get the same delivery of instruction as on that south side. And I think that is still a gray area for schools and it is hard. I would not say that I necessarily have any solutions, I mean ones that think the union would accept. Let me say it that way. And I think that will continue to be a gatekeeper in a lot of schools."
Educator,1253,"I think there is that would be one area that I think might need some work about. I do not even know where I stand, really, on common core standards. I like the idea of standards. I think that does help deliver a more equitable curriculum to students. but I think they are still fuzzy enough that it just simply does not happen. I know it does not happen."
Educator,1254,"I actually like the data points that the state uses for the report card. they are actually pretty decent because they get into the things that I think oftentimes were ignored, attendance. it is taking dual-credit classes, those kinds of things. I think those are good. they are also using the state testing, which is one data point. It should not be the end all, be all, but it is one and it is important. So I think that is a good one."
Educator,1255,"I also think we have to be better and we are pretty good about tracking students after high school and what they are doing. So we can track them in postsecondary education. We can track their success, persistence to the second year, their graduation of postsecondary all those things. I do not think we look at them quite enough or that every school looks at them quite enough. I think those are indicators."
Educator,1256,"there is another indicator that I think we actually need to keep track of kids for about a decade after high school, the track what they did because what we are seeing now and I do not know why exactly, but in the last couple of years, even before COVID-19, certainly COVID-19 impacted this as is just sometimes kids come back to school after having left. So they graduate from high school, they go and they have this job that they like or whatever, and they do that and then two or three or four years later, then they go to school. I think it would be interesting to see that because that does indicate a...maybe even in some ways, higher degree of success by the school, because they we are still able to do that after four years. That tells you something about what the public school system has been able to do."
Educator,1257,"those data points would be very interesting and it is also, I think we have to look at it career wise, because there are really important jobs to our society that we have to have people do. We have to have car mechanics. You cannot send that anywhere else and we have to have it. So it would be good if we could see how many of our kids do that successfully. How many of our kids going into electrician or plumbering or other things that cannot be outsourced. These things are important to the whole general makeup of our society. I do think that we have to somehow be looking at those data points as well."
Educator,1258,"Honestly, the data point I probably use the most and thought was the most accurate, I mean in the end it ended up being the most accurate was actually the SAT. So, at one time in Spokane, we used to take the PSAT 8, 9, 10, 11, and you could really track some data there that was pretty powerful. And college would have a lot of access to resources that we could also use that I thought were really good. So I thought that was a good data point."
Educator,1259,"but now with the SAT not being used as much in colleges, it is becoming a thing in the past. And so now we are looking at end of course type exams or just benchmarks along the way, as that a district would develop. We have not necessarily developed them. But I think that we will."
Educator,1260,"our elementary and I think up to middle school use a couple of different programs, Lexia and DreamBox. They do indicate a kids point in time they use it regularly. So they use Dreambox, they use Lexia regularly and so a teacher can keep track of a students improvement or lack of improvement and then be able to put the spots into place. And so we are using that at the elementary level."
Educator,1261,"This superintendent has a very strong belief that we need to put a lot of effort and money into the K-4, make sure the kids come out of that reading and with numeracy skills, because then we think we will not have to do all the intervention that we end up doing in high school. that is one reason why it is such a hard end, it is a [inaudible] DreamBox, so Lexia at that level, but does go all the way up into middle school."
Educator,1262,"At the high school level, we use MATHia because we are connected to Carnegie Math. And so math is one of the ways that we can generally track a students progress in math."
Educator,1263,"(what mechanism would help the policymaker, education leaders more likely to utilize evidence data) I do not know. It all always seems to come down to money., I do think that data has impacted them. they saw the disproportionate discipline data, created some laws around discipline that were really tough on schools, to be really honest. And yet, they were, the policy was. We might not have liked it at first, but the policy was"
Educator,1264,"And so I do think that sometimes that is what they have to do. They have to make laws that make us change. Schools are not real great about change. So I do think that those policies, like the discipline policies, and they continue need to create the new rules, and this is a federal one, the new rules around Title-IX, certainly have an impact on schools that I think is good. it is changing something that needed to be changed."
Educator,1265,"I think the most impact I think I have ever seen, in terms of legislators, has been when they are actually in schools. I think sometimes seeing the faces of those that they are impacting sometimes can, along with the data, have maybe the greatest input."
Educator,1266,"I will tell you this, if I wanted my staff to change their mind about something, I did not necessarily try to do it myself. I brought kids in to do it. And it had a greater impact than anything I could have ever said. I would create student panels or whatever. And honestly, if I wanted teachers to change, it was students who we are going to change them, not me."
Educator,1267,And I do think that students... And I do think this generation of students are going to demand something different now that they have had a different schedule and an opportunity for a different way to learn. they are going to demand some differences.
Educator,1268,"I think, for example, I think the high school schedule has to change. It just does not work anymore, especially at the 11th and 12th grade level. And so I think kids will demand that, and maybe that will be it."
Educator,1269,"but if I am picking two things that I think can make the greatest change in schools, and I am sure I told you this before because this has not changed for me, AVID as a national program and GEAR UP, especially in schools of high-poverty and schools with diversity, those two programs... I cannot tell you the data that comes out of that is just ridiculous. if we could just replicate GEAR UP and have every cohort, have every single cohort have a GEAR UP program that follows it from seventh grade to 12th grade, I think you would see some remarkable results, though."
State administrators/legislators/board,1274,"For instance, if I wrote a policy, of education policy, I would write it from my perspective as a Hispanic American, and I would write it for what I believe and not that I was trying to include anybody, just what I was taught. And so it would just not maybe work for the African American kids, or may not work with the Chinese kids, or the Caucasian kids, because I wrote it from my perspective. And so when we talk about racial equity, I think it is just a matter of when you put on the procedures that we have to make sure that we include everybodys perspective into the policy procedure."
State administrators/legislators/board,1275,"a good policy. if I cannot remember what it was then it must be not that great. So there is a lot of policy that is really behind-the-scenes policy, but one of them is data collection. So when a kid gets into, lets say, high school, they come in and they usually look at the kid and they... I do not know if they can or do, but the school does not choose to say, he is a Hispanic, and he is a African American, and he is a Asian, and that is all they know about the kid."
State administrators/legislators/board,1276,"But what we did is we figured out really quick, for instance in the Asian community, you have Asians include the Asian Continent, including Japan, including the Pacific Islander folks who have nothing to do with Asia, they are Pacific Islanders. And there is test scores, there are things of that nature and education are completely different than most of Asia. And so the bill that we pass was to aggregate the data or to separate the data for the kids. (it came out probably in 2019, 2018.)"
State administrators/legislators/board,1277,"For instance, if he is a Hispanic, You ask them, you say, ""Are you a Mexican Hispanic, or are you a Hispanic descent of Mexico, or argumentina or Cuba or Puerto Rico?"" And so we could tell from the data that is coming through, they will mixed a group of kids that are getting affected by a particular class or a part subject matter that they are doing badly in. And instead of just saying then group them all Hispanic or group them as where they actually came from and how they identified themselves. So that was a really good one I think, because now we do not lump all Asians together in column, a Pacific Congress, we separate them to make sure that when we come up with solutions to help these kids or we are coming up for a solution for the kids, that all the kids that are all Asians, or Hispanics, or African Americans."
State administrators/legislators/board,1278,"So now, Unfortunately, for the high schools have this long form that says, Okay. How you identify yourself? And there is probably 100 different ways to identify yourself."
State administrators/legislators/board,1289,"At the local level, I think teachers union like everybody else, they want to help, they want to do the best they can for the kids. I think that what teachers unions are all about."
State administrators/legislators/board,1290,"At the big picture, teachers unions they think they could do the best or the teachers union if they lobby Democrats and not Republicans, because at the state level, I think that is what they believe that Democrats will deal with it, the teachers union, one them to do get the finance to their campaigns when they are running problems."
State administrators/legislators/board,1291,"And I think your experience on the state level and local level gives that contrast. because you have your local union reps that you've worked with and on the state side, there is state level lobbyist, so the dynamics are different."
